,plantid,genotype_name,cluster
23046,654,DH_PE0048,
23080,655,DH_KE0083,
23116,656,DH_KE0073,
23151,657,DH_KE0482,
23186,658,DH_PE0123,
23222,659,DH_KE0418,
23258,660,DH_PE0504,
23293,661,DH_PE0593,
23328,662,DH_PE0349,
23363,663,DH_KE0098,
23398,664,DH_PE0395,
23433,665,DH_PE0383,
23469,666,DH_KE0353,
23503,667,DH_PE0359,
23538,668,DH_KE0048,
23574,669,DH_PE0392,
23609,670,DH_PE0507,
23644,671,DH_PE0041,
23680,672,DH_PE0161,
23715,673,DH_PE0279,
23750,674,DH_KE0129,
23786,675,DH_PE0496,
23820,676,DH_KE0443,
23855,677,DH_PE0114,
23891,678,DH_PE0411,
23926,679,DH_KE0662,
23961,680,DH_KE0210,
23997,681,DH_KE0272,
24032,682,DH_KE0402,
24067,683,DH_PE0131,
24101,684,DH_PE0083,
24135,685,DH_PE0213,
24170,686,DH_KE0062,
24203,687,DH_PE0070,
24238,688,DH_KE0489,
24273,689,DH_PE0277,
24308,690,DH_KE0385,
24343,691,DH_PE0240,
24378,692,DH_KE0001,
24412,693,DH_KE0642,
24447,694,DH_PE0374,
24482,695,DH_KE0310,
24517,696,DH_PE0197,
24552,698,DH_PE0291,
24587,699,DH_KE0371,
24621,700,DH_PE0199,
24657,701,DH_KE0094,
24692,702,DH_PE0387,
24727,703,DH_PE0420,
24763,704,DH_KE0430,
24798,705,DH_KE0043,
24833,706,DH_PE0125,
24869,707,DH_KE0254,
24904,708,DH_KE0669,
24939,709,DH_KE0163,
24975,710,DH_PE0097,
25010,711,DH_PE0393,
25045,712,DH_KE0067,
25081,713,DH_PE0007,
25116,714,DH_PE0549,
25151,715,DH_KE0530,
25187,716,DH_PE0106,
25221,718,DH_KE0085,
25257,719,F7,
25293,720,DH_PE0555,
25328,721,DH_KE0038,
25364,722,DH_KE0234,
25400,723,DH_PE0494,
25435,724,DH_KE0259,
25471,725,DH_KE0587,
25507,726,DH_PE0011,
25542,727,DH_KE0074,
25578,728,DH_KE0180,
25613,729,DH_PE0088,
25648,730,DH_KE0497,
25684,731,DH_PE0274,
25720,732,DH_PE0524,
25755,733,DH_KE0140,
25791,734,DH_KE0046,
25827,735,DH_KE0478,
25862,736,DH_KE0469,
25898,737,DH_PE0104,
25934,738,DH_KE0247,
25968,739,DH_KE0194,
26004,740,DH_PE0001,
26040,741,DH_KE0057,
26075,742,DH_KE0173,
26111,743,DH_KE0081,
26146,744,DH_KE0639,
26181,745,DH_KE0501,
26217,746,DH_KE0439,
26253,747,DH_PE0424,
26288,748,DH_KE0331,
26324,749,DH_KE0080,
26360,750,DH_KE0403,
26394,751,DH_PE0146,
26430,752,DH_KE0143,
26466,753,DH_KE0072,
26501,754,DH_PE0376,
26537,755,DH_KE0406,
26573,756,DH_KE0028,
26608,757,DH_PE0005,
26644,758,DH_PE0174,
26680,759,DH_KE0426,
26715,760,DH_PE0130,
26751,761,DH_PE0520,
26787,762,DH_PE0033,
26822,763,DH_PE0417,
26858,764,DH_PE0269,
26894,765,DH_PE0402,
26929,766,DH_PE0204,
26965,767,DH_PE0659,
26999,768,DH_PE0538,
27032,769,DH_KE0058,
27068,770,DH_KE0006,
27103,771,DH_PE0370,
27137,772,DH_KE0004,
27173,773,DH_PE0479,
27207,774,DH_KE0725,
