name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
netherland,2022-04-12,21.5,14.1,16.9,21.5,14.1,16.9,14.9,88.5,29.172,100,54.17,rain,0,0,47.9,16.2,184.7,1017.7,72.9,12.3,88.5,7.5,5,30,2022-04-12T06:12:08,2022-04-12T19:13:06,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72327400372,99999963855,72325003847,KCSV,KSRB,D3823,K8A3,TR889"
netherland,2022-04-13,26.8,14.4,21.2,27,14.4,21.2,13.1,61.6,13.588,100,12.5,rain,0,0,53.8,27,197.1,1011.7,43,15.1,146.8,12.6,8,30,2022-04-13T06:10:47,2022-04-13T19:13:57,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72327400372,99999963855,72325003847,KCSV,KSRB,D3823,K8A3,TR889"
netherland,2022-04-14,16.8,5.6,12.2,16.8,5.5,11.9,5.4,68.1,7.685,100,33.33,rain,0,0,54.2,32.1,289.5,1017.1,41.5,13.8,289.8,25.1,10,10,2022-04-14T06:09:26,2022-04-14T19:14:48,0.43,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"72327400372,99999963855,72325003847,KCSV,KSRB,D3823,K8A3,TR889"
netherland,2022-04-15,21.7,1.4,13,21.7,1.4,13,-0.8,45.9,0,0,0,,0,0,35.1,21.3,181.8,1019.4,8.5,16,214.7,18.5,10,10,2022-04-15T06:08:06,2022-04-15T19:15:40,0.47,Clear,Clear conditions throughout the day.,clear-day,"72327400372,99999963855,72325003847,KCSV,KSRB,D3823,K8A3,TR889"
netherland,2022-04-16,19.8,11.4,15.7,19.8,11.4,15.7,11.7,78,11.658,100,25,rain,0,0,37.4,14.1,247,1017.1,75.3,15.1,159.4,14,5,10,2022-04-16T06:06:46,2022-04-16T19:16:31,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72327400372,99999963855,KSRB,D3823,K8A3"
netherland,2022-04-17,15.6,7.9,11.8,15.6,5.7,11.4,1.8,51.2,0.125,100,4.17,rain,0,0,36.4,14.7,31.3,1017.8,49.6,16,110.6,9.5,4,10,2022-04-17T06:05:27,2022-04-17T19:17:22,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72327400372,99999963855,KSRB,D3823,K8A3,TR889"
netherland,2022-04-18,11.8,2.3,7.5,11.8,2.3,6.1,5.2,86,19.711,100,33.33,rain,0,0,48.2,15.4,315.8,1017.2,87.8,12.9,89.8,7.6,6,10,2022-04-18T06:04:09,2022-04-18T19:18:14,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72327400372,99999963855,KSRB,D3823,K8A3,TR889"
netherland,2022-04-19,12.3,0,5.8,12.3,-2,4.8,-2.2,60.1,0,0,0,,0,0,31.7,14.9,315.4,1023.3,2.8,15.1,316.6,27.4,10,10,2022-04-19T06:02:52,2022-04-19T19:19:05,0.6,Clear,Clear conditions throughout the day.,clear-day,"72327400372,99999963855,72325003847,KSRB,D3823,K8A3"
netherland,2022-04-20,21.4,2.8,13.1,21.4,2.8,13.1,-0.9,43.8,0,0,0,,0,0,37.4,22.5,171.5,1023.4,10.8,16,265.9,23,10,10,2022-04-20T06:01:35,2022-04-20T19:19:56,0.64,Clear,Clear conditions throughout the day.,clear-day,"72327400372,99999963855,KSRB,D3823,K8A3,TR889"
netherland,2022-04-21,23.3,15.3,18.6,23.3,15.3,18.6,11,62.5,0.418,100,4.17,rain,0,0,46.9,25.3,204.6,1026.2,64.5,15.7,199.8,17.2,10,10,2022-04-21T06:00:19,2022-04-21T19:20:48,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72327400372,99999963855,KSRB,D3823,K8A3,TR889"
netherland,2022-04-22,27.2,11.6,19.9,27.2,11.6,19.9,13,67.1,0,0,0,rain,0,0,22.3,10.8,240.5,1027.3,10.3,15.3,304.8,26.3,10,10,2022-04-22T05:59:04,2022-04-22T19:21:39,0.71,Clear,Clear conditions throughout the day.,clear-day,"72327400372,99999963855,KSRB,D3823,K8A3"
netherland,2022-04-23,28.1,13.9,21.9,27.5,13.9,21.8,12,55.8,0,0,0,,0,0,36,21.3,190.1,1022.2,1.7,16,293.7,25.5,10,10,2022-04-23T05:57:50,2022-04-23T19:22:31,0.75,Clear,Clear conditions throughout the day.,clear-day,"72327400372,99999963855,KSRB,D3823,K8A3"
netherland,2022-04-24,26.7,17.7,22.1,26.8,17.7,22.1,12.9,57.1,0,0,0,,0,0,45.7,23.8,203,1020,6.6,16,262.8,22.7,10,10,2022-04-24T05:56:37,2022-04-24T19:23:23,0.78,Clear,Clear conditions throughout the day.,clear-day,"72327400372,99999963855,72325003847,KSRB,D3823,K8A3"
netherland,2022-04-25,26.2,15.7,20.1,26.2,15.7,20.1,15.4,76.1,7.296,100,25,rain,0,0,50,23.2,219.3,1019,47.2,15,216.1,18.4,10,10,2022-04-25T05:55:24,2022-04-25T19:24:14,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72327400372,99999963855,KSRB,D3823,K8A3"
netherland,2022-04-26,15.9,6.4,11.9,15.9,6.4,11.5,5.2,67.4,8.629,100,25,rain,0,0,37.1,16.6,337.4,1024,39.4,14.7,282.2,24.4,10,10,2022-04-26T05:54:13,2022-04-26T19:25:06,0.85,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"72327400372,99999963855,72325003847,KSRB,D3823,K8A3,TR889"
netherland,2022-04-27,18.9,3,11.2,18.9,3,11.1,1.3,55.2,0,0,0,,0,0,28.4,16.7,31.2,1024.4,3.2,16,327.8,28.4,10,10,2022-04-27T05:53:03,2022-04-27T19:25:57,0.89,Clear,Clear conditions throughout the day.,clear-day,"72327400372,99999963855,72325003847,KCSV,KSRB,D3823,K8A3"
netherland,2022-04-28,23.6,6.6,15.2,23.6,6.6,15.2,4.3,52.4,0,0,0,,0,0,20.5,11.6,61.4,1020.6,14.2,15.8,303.5,26.2,10,10,2022-04-28T05:51:53,2022-04-28T19:26:49,0.92,Clear,Clear conditions throughout the day.,clear-day,"72327400372,99999963855,KSRB,D3823,K8A3"
netherland,2022-04-29,24.2,11.6,18.3,24.2,11.6,18.3,9.1,56.8,0,0,0,rain,0,0,24.1,13.9,180.4,1017.5,46.9,16,228,19.5,10,10,2022-04-29T05:50:45,2022-04-29T19:27:41,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72327400372,99999963855,KSRB,D3823,K8A3,TR889"
netherland,2022-04-30,25.6,16.7,21.4,25.6,16.7,21.4,12.9,58.4,0,0,0,rain,0,0,45,23.6,197.6,1015.2,19.8,16,262,22.7,10,60,2022-04-30T05:49:38,2022-04-30T19:28:32,0,Clear,Clear conditions throughout the day.,clear-day,"72327400372,99999963855,KSRB,D3823,K8A3"
netherland,2022-05-01,24.3,13.7,20.5,24.3,13.7,20.5,14.4,69.6,1.156,100,16.67,rain,0,0,54.7,20.4,224.4,1014.9,52.2,15.7,238.7,20.5,9,60,2022-05-01T05:48:32,2022-05-01T19:29:24,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72327400372,99999963855,KSRB,D3823,K8A3,TR889"
netherland,2022-05-02,26.8,9.6,18.6,26.3,9.6,18.5,9.4,60,0.468,100,8.33,rain,0,0,31.3,10.5,247,1017.9,14.1,14.1,284.2,24.5,9,10,2022-05-02T05:47:26,2022-05-02T19:30:15,0.06,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"72327400372,99999963855,KSRB,D3823,K8A3"
netherland,2022-05-03,27.2,17.7,22.2,27.6,17.7,22.2,16,69.4,0.125,100,4.17,rain,0,0,50.5,31.2,216.1,1014.5,34.3,16,248.7,21.5,10,30,2022-05-03T05:46:22,2022-05-03T19:31:07,0.09,"Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain.,rain,"72327400372,99999963855,KSRB,D3823,K8A3"
netherland,2022-05-04,21.6,13.3,17.9,21.6,13.3,17.9,14.2,80.5,1.309,100,4.17,rain,0,0,30.2,12.5,334.1,1018.1,53.6,15.6,334,28.8,10,10,2022-05-04T05:45:20,2022-05-04T19:31:58,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72327400372,99999963855,KSRB,D3823,K8A3"
netherland,2022-05-05,27.7,9.3,18.3,28.8,9.3,18.4,14.4,80.8,14.821,100,29.17,rain,0,0,35.6,13.2,211.4,1015.4,27.7,14.1,273.3,23.4,9,60,2022-05-05T05:44:18,2022-05-05T19:32:49,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72327400372,99999963855,KSRB,D3823,K8A3,TR889"
netherland,2022-05-06,22,13.4,17.9,22,13.4,17.9,16.5,91.7,25.356,100,58.33,rain,0,0,40,24.1,237.7,1005.2,76.3,14,120.3,10.6,10,60,2022-05-06T05:43:18,2022-05-06T19:33:40,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72327400372,99999963855,KCSV,KSRB,D3823,K8A3,TR889"
